probe	entrez	gene	pval.exp	odds.exp	pval.anthr	odds.exp.1	pval.expAnth	odds.expAnth	adjpval
213344_s_at	3014	H2AFX	5.79016961210765e-06	0.456662697277637	1.83235991624286e-06	5.7435236321952	0.000146540044907217	10.7937476023862	0.0416225816910064
222093_s_at	83444	INO80B	0.00105416999837937	0.232991531104441	6.87023283962862e-06	5.49627149674607	0.000260210605583344	9.7171299790594	0.0416225816910064
204900_x_at	8819	SAP30	0.00127742899917083	3.28846358694917	5.2187426371475e-06	4.29859354601949	0.000298935238956632	0.135901372048927	0.0416225816910064
41387_r_at	23135	KDM6B	0.000447056410919355	0.248412520017493	1.25587569601571e-05	7.63853521919687	0.000319000755202303	9.07892474478789	0.0416225816910064
216711_s_at	6872	TAF1	0.00174149026275416	0.235992624839865	1.41168373464229e-05	6.11710014922283	0.000377016138505493	7.14295407988615	0.0416225816910064
202383_at	8242	KDM5C	0.00109470134680412	0.312561095571224	9.72594494441648e-06	5.68069641558475	0.000466131128445069	8.76702495134609	0.0428840638169463
212275_s_at	10847	SRCAP	0.00512435155347868	0.286861870809571	4.78447332892262e-05	7.49969185455305	0.00172060422455034	6.5026302546475	0.112338669100604
201355_s_at	11176	BAZ2A	0.00155941469840037	0.390187887304141	3.9563888380667e-05	6.28467292040063	0.00175374187966171	5.85711250674226	0.112338669100604
207591_s_at	8289	ARID1A	0.00740566405425269	0.222469798915272	3.47094397697978e-05	8.35709824143801	0.00183160873533594	7.18765287563454	0.112338669100604
216955_at	6872	TAF1	0.00769082681131106	0.373910957412453	2.6617167201537e-05	5.86608595986082	0.00228056386481834	4.93320646837433	0.121344349042361
208741_at	10284	SAP18	0.00760819338159135	0.169086810726175	3.92177886149314e-05	9.91313285812863	0.00241809391207604	7.16192745735861	0.121344349042361
221863_at	54531	MIER2	0.0093358802031126	0.324504179404274	5.85733285083379e-05	7.64330606816994	0.00266660716569311	5.33653131790544	0.122663929621883
215437_x_at	11176	BAZ2A	0.0118741920054537	0.327022754961201	3.33711101341283e-05	4.98513725465284	0.00291062945718479	6.10099406828377	0.123589804643539
202473_x_at	3054	HCFC1	0.00736088649612165	0.350624490084371	5.65442487240331e-05	6.29178826839901	0.00332270914155519	6.13403403255973	0.131009674724176
212452_x_at	23522	KAT6B	0.017768018244792	0.171192532850211	7.53103033013236e-05	11.2398510805526	0.00466236822308741	7.2540276889669	0.138084544855042
209984_at	23081	KDM4C	0.0183744951751552	2.66281836132346	5.91168113687202e-05	5.40797971781169	0.00475199990799036	0.217816641256909	0.138084544855042
203796_s_at	605	BCL7A	0.00786223806039088	0.341588963307106	5.85661654701752e-05	5.39188400793604	0.00486581044124468	6.18391730378514	0.138084544855042
209062_x_at	8202	NCOA3	0.010913304381243	0.382012708065847	7.25863249606551e-05	6.94215739729307	0.004917494533075	5.31635678538926	0.138084544855042
